ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
65536,2048,689.13,128,16.8689,,1,689.13,16.8689,20,20,99287.1,99111.9,99536.6
73728,2048,677.667,128,17.0926,,1,677.667,17.0926,21,21,114361,114186,114587
81920,2048,660.645,128,17.2617,,1,660.645,17.2617,21,21,128551,128376,128749
90112,2048,641.953,128,16.7834,,1,641.953,16.7834,20,20,145987,145811,146165
98304,2048,626.535,128,16.9944,,1,626.535,16.9944,21,21,162374,162199,162609
106496,2048,608.893,128,16.9051,,1,608.893,16.9051,20,20,180361,180186,180580
114688,2048,596.116,128,16.5587,,1,596.116,16.5587,19,19,198677,198502,198903
122880,2048,579.242,128,16.9956,,1,579.242,16.9956,20,20,219638,219463,219862
131072,2048,563.004,128,16.4588,,1,563.004,16.4588,20,20,241429,241254,241615
