ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
2048,2048,801.503,128,21.7443,,1,801.503,21.7443,28,28,5309.17,5110.4,5461.49
6144,2048,848.728,128,22.0827,,1,848.728,22.0827,33,33,9850.87,9652.1,10009.9
10240,2048,887.576,128,19.4521,,1,887.576,19.4521,22,22,14043.2,13844.5,14201.9
14336,2048,813.924,128,19.2024,,1,813.924,19.2024,25,25,20328.4,20129.6,20488.8
18432,2048,846.063,128,21.838,,1,846.063,21.838,32,32,24405,24206.2,24563.4
22528,2048,806.062,128,22.9546,,1,806.062,22.9546,32,32,30687.7,30489,30848.9
26624,2048,813.348,128,26.5933,,1,813.348,26.5933,38,38,35450.6,35251.8,35611.1
30720,2048,805.472,128,20.7537,,1,805.472,20.7537,30,30,40880.5,40681.7,41051.5
34816,2048,784.934,128,17.4953,,1,784.934,17.4953,20,20,47163.2,46964.5,47340
38912,2048,771.837,128,22.2087,,1,771.837,22.2087,33,33,53267,53068.2,53440.9
43008,2048,744.68,128,17.5747,,1,744.68,17.5747,24,24,60702.6,60503.9,60878.2
47104,2048,742.805,128,21.681,,1,742.805,21.681,33,33,66369.5,66170.8,66544.6
51200,2048,727.909,128,20.9598,,1,727.909,20.9598,30,30,73350.8,73152,73527.3
55296,2048,720.653,128,17.4175,,1,720.653,17.4175,23,23,79771.1,79572.3,79948.1
59392,2048,707.687,128,17.2903,,1,707.687,17.2903,23,23,87016.8,86818.1,87193
63488,2048,695.854,128,17.0799,,1,695.854,17.0799,20,20,94379.4,94180.6,94557.2
