ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
65536,2048,691.709,128,17.725,,1,691.709,17.725,20,20,98936.9,98756.9,99490.3
73728,2048,676.844,128,16.9246,,1,676.844,16.9246,21,21,113275,113095,113553
81920,2048,655.709,128,15.2068,,1,655.709,15.2068,19,19,131142,130962,131539
90112,2048,639.374,128,15.329,,1,639.374,15.329,24,24,146942,146762,147183
98304,2048,624.478,128,15.9151,,1,624.478,15.9151,20,20,163095,162915,163279
106496,2048,598.854,128,16.726,,1,598.854,16.726,20,20,185025,184845,185241
114688,2048,594.811,128,16.1982,,1,594.811,16.1982,17,17,198951,198771,199030
122880,2048,571.28,128,16.7307,,1,571.28,16.7307,19,19,222657,222478,222863
131072,2048,566.311,128,16.2112,,1,566.311,16.2112,19,19,237926,237746,238167
