ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
2048,2048,547.594,128,19.983,,1,547.594,19.983,22,22,7813.78,7700.97,7918
4096,2048,932.679,128,19.8556,,1,932.679,19.8556,22,22,6867.55,6754.74,6971.64
6144,2048,779.636,128,20.1853,,1,779.636,20.1853,22,22,10735.7,10622.9,10888.5
8192,2048,905.49,128,19.8812,,1,905.49,19.8812,22,22,11491.2,11378.4,11595.5
10240,2048,809.325,128,19.7403,,1,809.325,19.7403,22,22,15397.1,15284.3,15501
12288,2048,880.773,128,19.844,,1,880.773,19.844,22,22,16638.1,16525.2,16742.9
14336,2048,866.526,128,19.7553,,1,866.526,19.7553,23,23,19231.7,19118.9,19336
16384,2048,865.153,128,19.5594,,1,865.153,19.5594,22,22,21652.4,21539.5,21758.5
18432,2048,852.853,128,19.6594,,1,852.853,19.6594,22,22,24448.8,24336,24554.5
20480,2048,850.493,128,19.6497,,1,850.493,19.6497,22,22,27001.9,26889.1,27126.2
22528,2048,835.054,128,19.4627,,1,835.054,19.4627,22,22,29992.3,29879.5,30098.5
24576,2048,837.433,128,19.6704,,1,837.433,19.6704,22,22,32331.5,32218.7,32436.6
26624,2048,825.092,128,19.6679,,1,825.092,19.6679,21,21,35430.1,35317.3,35586.8
28672,2048,822.458,128,19.277,,1,822.458,19.277,21,21,38159.7,38046.9,38265.3
30720,2048,814.468,128,18.0524,,1,814.468,18.0524,20,20,40774.9,40662.1,40890
32768,2048,807.362,128,17.8476,,1,807.362,17.8476,20,20,43814.4,43701.6,43872.6
34816,2048,794.3,128,17.884,,1,794.3,17.884,21,21,47107.7,46994.9,47165.4
36864,2048,790.763,128,17.8718,,1,790.763,17.8718,21,21,50210,50097.2,50326.1
38912,2048,780.567,128,18.0107,,1,780.567,18.0107,20,20,53222.9,53110.1,53337.2
40960,2048,777.893,128,18.1407,,1,777.893,18.1407,21,21,55819.7,55706.9,55992
43008,2048,766.084,128,18.0075,,1,766.084,18.0075,20,20,59956.1,59843.3,60071.7
45056,2048,757.597,128,17.7436,,1,757.597,17.7436,20,20,63253.2,63140.4,63368.1
47104,2048,754.531,128,17.8646,,1,754.531,17.8646,21,21,65953.7,65840.9,66185.8
49152,2048,748.935,128,17.8448,,1,748.935,17.8448,21,21,69360.5,69247.7,69534.8
51200,2048,739.433,128,17.7376,,1,739.433,17.7376,21,21,73421.7,73308.9,73538.4
53248,2048,736.033,128,17.6803,,1,736.033,17.6803,20,20,76166.5,76053.7,76285
55296,2048,727.446,128,17.5682,,1,727.446,17.5682,20,20,80268.6,80155.8,80385.7
57344,2048,715.615,128,17.6183,,1,715.615,17.6183,21,21,84596.8,84484,84714.7
59392,2048,717.847,128,17.6513,,1,717.847,17.6513,21,21,86565.8,86453,86682.6
61440,2048,712.236,128,17.6948,,1,712.236,17.6948,20,20,90755.5,90642.7,90873.9
63488,2048,704.88,128,17.7674,,1,704.88,17.7674,21,21,95154.5,95041.7,95329.3
65536,2048,701.502,128,17.7171,,1,701.502,17.7171,21,21,97863.1,97750.3,97979.1
