ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes,concurrency,prefill_tps_req,gen_tps_req,peak_gen_tps,peak_gen_tps_req,ttfr_ms,est_ppt_ms,e2e_ttft_ms
65536,2048,332.444,128,13.2801,,1,332.444,13.2801,14,14,206940,206762,207175
73728,2048,326.283,128,13.0461,,1,326.283,13.0461,14,14,236347,236169,236508
81920,2048,322.18,128,12.9283,,1,322.18,12.9283,13,13,264489,264311,264651
90112,2048,315.189,128,12.9179,,1,315.189,12.9179,13,13,296956,296778,297199
98304,2048,309.875,128,12.7149,,1,309.875,12.7149,13,13,328846,328668,329010
106496,2048,305.016,128,12.494,,1,305.016,12.494,13,13,360516,360338,360601
114688,2048,299.989,128,12.5712,,1,299.989,12.5712,13,13,394436,394258,394683
122880,2048,295.242,128,12.5898,,1,295.242,12.5898,13,13,428715,428537,429046
131072,2048,290.342,128,12.1859,,1,290.342,12.1859,13,13,465198,465020,465455
